objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,CW_100_Faten_Aquino.pdf,,,Syzygy,Faten Joyce A. Aquino,2019-02-05,Workshop Draft for CW 100 Fiction Submission,CW 100;class submission;fiction;fantasy;witchcraft,"Diliman, Quezon City",14.65329219,121.0669234,Aquino Personal Archives,pg_9_12_01bl,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,CW_110_Faten_Aquino.pdf,,,Irreconcilable Differences,Faten Joyce A. Aquino,2021-08-08,Workshop Draft for CW 110 Realist Fiction Submission,CW 110;class submission;realist fiction;breakup,"Diliman, Quezon City",14.65329219,121.0669234,Aquino Personal Archives,pg_9_12_01bl,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,CW_111_Faten_Aquino.pdf,,,Maghunos-dili ka,Faten Joyce A. Aquino,2021-11-28,Workshop Draft for CW 111 Speculative Fiction Submission,CW 111;class submission;speculative fiction;science fiction;mental health,"Diliman, Quezon City",14.65329219,121.0669234,Aquino Personal Archives,pg_9_12_01bl,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,CW_150_Faten_Aquino.pdf,,,A Warm Bowl of Champorado,Faten Joyce A. Aquino,2020-10-30,Workshop Draft for CW 150 Children's Literature Submission,CW 150;class submission;children's literature;food;family;learning styles,"Diliman, Quezon City",14.65329219,121.0669234,Aquino Personal Archives,pg_9_12_01bl,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,CW_151_Faten_Aquino.pdf,,,Divided,Faten Joyce A. Aquino,2021-05-25,Workshop Draft for CW 151 Young Adult Literature Submission,CW 151;class submission;young adult literature;family;regional identity,"Diliman, Quezon City",14.65329219,121.0669234,Aquino Personal Archives,pg_9_12_01bl,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
